name,price,Kategori
Brokoli & Kembang Kol Potong - Sayur Kendal,21000,Sayuran
Jamur Perancis Sliced Pack 250 Gr,21290,Sayuran
Cabe Rawit Merah 100 Gr,12810,Sayuran
WORTEL SEGAR 500-600 GRAM,10210,Sayuran
CABE MERAH TW 250-270 GR - CABAI,25840,Sayuran
LABU SIAM ACAR 300 GR - SAYUR,12300,Sayuran
Sayurbox Cabai Merah Rawit 200 gram Konvensional Warna Campur Pedas Cocok Sebagai Bahan Sambal,23450,Sayuran
Timun Baby Konvensional Sayurbox,11600,Sayuran
LABU SIAM BESAR 350-400 GR - SAYUR,7800,Sayuran
SAKAKE TOFU TELUR 230 GRAM,18250,Sayuran
HOKTO MUSHROOM BROWN PACK JPN,19500,Sayuran
Sakake Tofu Putih 230 Gr,12990,Sayuran
Pare Hijau 500 Gr,19460,Sayuran
TIMUN JAP 500 GR,17630,Sayuran
KONGKE TOFU JEPUN PUTIH 250 GR - TAHU,12600,Sayuran
Terong Lalap Hijau Pack 250 Gr,7150,Sayuran
KEMBANG KOL 500-600 GR - SAYUR,28740,Sayuran
KABOCHA LABU KUNING 1 KG,49320,Sayuran
SAKAKE TOFU PUTIH 150 GR,8250,Sayuran
TOMAT TW 500-600 GR - SAYUR,21990,Sayuran
Paket Tumis Brokoli Wortel - Sayur Kendal,35000,Sayuran
Jamur Enokidake Pack 100 Gr,7380,Sayuran
Cabe Rawit Merah 100 Gr,21170,Sayuran
JAMUR ENOKIDAKE PACK 100 GR,6100,Sayuran
KONGKE TOFU TELUR AYAM 140 GR,9620,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,19100,Sayuran
PAPRIKA HIJAU 220 GR,25650,Sayuran
TERONG LALAP HIJAU PACK 250 GR,9200,Sayuran
Jamur Enokidake Pack 100 Gr,6310,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,17010,Sayuran
Tomat Hijau Konvensional 250 gram,10100,Sayuran
Kongke Tofu Telur Ayam 140 Gr,11760,Sayuran
Kongke Tofu Rasa Udang 140 Gr,9620,Sayuran
KONGKE TOFU JEPUN PUTIH 250 GR - TAHU,11970,Sayuran
CABE MERAH KRITING 250-270 GR,25970,Sayuran
TERONG LALAP HIJAU PACK 250 GR,9200,Sayuran
Jamur Enokidake Pack 100 Gr,6100,Sayuran
CABE RAWIT MERAH 100-120 GR,14110,Sayuran
Tahu Kuning Susu Bandung 10 pcs Freshbox,19400,Sayuran
Kongke Tofu Telur Special 140 Gr,11760,Sayuran
Sayurbox Selection Tempe Ungkep Bumbu Kuning 350 gram sayurbox,27800,Sayuran
Cabe Merah Kriting 240 Gr,27300,Sayuran
Brokoli Impor B2G3 Impor 1 pack,100500,Sayuran
SAKAKE TOFU PUTIH 230 GRAM,11990,Sayuran
TAHU YUNYIE 4 PCS PUTIH - OLAHAN KEDELAI,20100,Sayuran
Cabe Merah Tw 240 Gr,33350,Sayuran
WHITE OYSTER MUSHROOM PACK,18720,Sayuran
HOKTO MUSHROOM BROWN PACK JPN,26640,Sayuran
CABE RAWIT HIJAU 100 GR - CABAI,13080,Sayuran
SAKAKE TOFU PUTIH 230 GR,13400,Sayuran
KONGKE TAHU SUTRA 250 GRAM,13900,Sayuran
Jamur Enoki - Sayur Kendal,10100,Sayuran
Selada Air Konvensional 250 gram Sayurbox,7900,Sayuran
Sakake Tofu Telur 230 Gr,18250,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,15350,Sayuran
WHITE SHIMEJI MUSHROOM PACK 100 GR - JAMUR,18050,Sayuran
Sakake Tofu Telur 230 Gr,19800,Sayuran
TOMAT TW 500-600 GR - SAYUR,18480,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,20050,Sayuran
KEMBANG KOL 500 GR,29610,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,21500,Sayuran
SAYUR PARE HIJAU 500-580 GRAM,14650,Sayuran
HOKTO MUSHROOM BROWN PACK JAPAN - JAMUR,19100,Sayuran
PAPRIKA MERAH 200-220 GRAM,14230,Sayuran
KONGKE TOFU TELUR SPECIAL 140 GR - TAHU,9500,Sayuran
PARE HIJAU 500-580 GR - SAYUR,20070,Sayuran
White Oyster Mushroom Pack 100 Gr,15350,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,15350,Sayuran
